Provinsi/Kabupaten/Kota,
,[Metode Baru] Indeks Pembangunan Manusia
,2022
ACEH,72.8
Simeulue,67.27
Aceh Singkil,69.62
Aceh Selatan,67.87
Aceh Tenggara,70.32
Aceh Timur,68.72
Aceh Tengah,73.95
Aceh Barat,72.34
Aceh Besar,74
Pidie,71.2
Bireuen,73.16
Aceh Utara,70.22
Aceh Barat Daya,67.41
Gayo Lues,68.25
Aceh Tamiang,70.43
Nagan Raya,70.1
Aceh Jaya,70.36
Bener Meriah,73.9
Pidie Jaya,74.34
Kota Banda Aceh,86.28
Kota Sabang,76.85
Kota Langsa,77.82
Kota Lhokseumawe,78.04
Kota Subulussalam,66.2
SUMATERA UTARA,72.71
Nias,63.69
Mandailing Natal,68.05
Tapanuli Selatan,70.92
Tapanuli Tengah,70.31
Tapanuli Utara,74.14
Toba Samosir / Toba,75.96
Labuhan Batu,72.92
Asahan,71.13
Simalungun,73.77
Dairi,72.56
Karo,75.36
Deli Serdang,76.19
Langkat,71.86
Nias Selatan,63.17
Humbang Hasundutan,70.32
Pakpak Bharat,68.85
Samosir,71.67
Serdang Bedagai,71.21
Batu Bara,69.51
Padang Lawas Utara,70.93
Padang Lawas,69.58
Labuhan Batu Selatan,72.16
Labuhan Batu Utara,72.77
Nias Utara,63.75
Nias Barat,62.93
Kota Sibolga,74.74
Kota Tanjung Balai,69.86
Kota Pematang Siantar,79.7
Kota Tebing Tinggi,76.17
Kota Medan,81.76
Kota Binjai,76.95
Kota Padangsidimpuan,76.05
Kota Gunungsitoli,70.23
SUMATERA BARAT,73.26
Kepulauan Mentawai,62.19
Pesisir Selatan,70.84
Solok,70.02
Sijunjung,68.69
Tanah Datar,73.29
Padang Pariaman,71.63
Agam,73.29
Lima Puluh Kota,70.28
Pasaman,67.41
Solok Selatan,69.71
Dharmasraya,72.3
Pasaman Barat,69.57
Kota Padang,83.29
Kota Solok,79.23
Kota Sawah Lunto,73.73
Kota Padang Panjang,78.78
Kota Bukittinggi,81.42
Kota Payakumbuh,79.53
Kota Pariaman,77.65
RIAU,73.52
Kuantan Singingi,71.09
Indragiri Hulu,70.46
Indragiri Hilir,67.37
Pelalawan,72.93
Siak,74.5
Kampar,73.84
Rokan Hulu,70.31
Bengkalis,74.38
Rokan Hilir,70.1
Kepulauan Meranti,66.52
Kota Pekanbaru,82.06
Kota Dumai,75.26
JAMBI,72.14
Kerinci,71.99
Merangin,69.98
Sarolangun,70.89
Batang Hari,70.51
Muaro Jambi,70.18
Tanjung Jabung Timur,65.77
Tanjung Jabung Barat,68.79
Tebo,69.78
Bungo,70.55
Kota Jambi,79.58
Kota Sungai Penuh,76.17
SUMATERA SELATAN,70.9
Ogan Komering Ulu,70.24
Ogan Komering Ilir,68.02
Muara Enim,69.43
Lahat,68.4
Musi Rawas,67.78
Musi Banyuasin,68.6
Banyu Asin,67.93
Ogan Komering Ulu Selatan,65.87
Ogan Komering Ulu Timur,70.23
Ogan Ilir,67.96
Empat Lawang,66
Penukal Abab Lematang Ilir,65.75
Musi Rawas Utara,65.74
Kota Palembang,79.47
Kota Prabumulih,75.52
Kota Pagar Alam,69.6
Kota Lubuklinggau,75.53
BENGKULU,72.16
Bengkulu Selatan,71.42
Rejang Lebong,71.45
Bengkulu Utara,69.77
Kaur,67.77
Seluma,67.76
Mukomuko,69.12
Lebong,68.12
Kepahiang,69.09
Bengkulu Tengah,68.47
Kota Bengkulu,80.99
LAMPUNG,70.45
Lampung Barat,68.39
Tanggamus,67.22
Lampung Selatan,69
Lampung Timur,70.58
Lampung Tengah,70.8
Lampung Utara,68.33
Way Kanan,68.04
Tulangbawang,69.53
Pesawaran,66.7
Pringsewu,70.98
Mesuji,64.94
Tulang Bawang Barat,67.13
Pesisir Barat,65.14
Kota Bandar Lampung,78.01
Kota Metro,77.89
KEP. BANGKA BELITUNG,72.24
Bangka,72.95
Belitung,73.38
Bangka Barat,70.12
Bangka Tengah,71.4
Bangka Selatan,67.95
Belitung Timur,72.29
Kota Pangkal Pinang,79.24
KEPULAUAN RIAU,76.46
Karimun,72.65
Bintan,74.99
Natuna,73.47
Lingga,66.57
Kepulauan Anambas,69.61
Kota Batam,81.67
Kota Tanjung Pinang,79.64
DKI JAKARTA,81.65
Kep. Seribu,72.79
Kota Jakarta Selatan,85.21
Kota Jakarta Timur,83.45
Kota Jakarta Pusat,82.11
Kota Jakarta Barat,82.51
Kota Jakarta Utara,80.81
JAWA BARAT,73.12
Bogor,71.2
Sukabumi,67.64
Cianjur,65.94
Bandung,73.16
Garut,67.41
Tasikmalaya,66.84
Ciamis,71.45
Kuningan,70.16
Cirebon,70.06
Majalengka,68.56
Sumedang,72.69
Indramayu,68.55
Subang,69.87
Purwakarta,71.56
Karawang,71.74
Bekasi,75.22
