Provinsi/Kabupaten/Kota,
,[Metode Baru] Indeks Pembangunan Manusia
,2019
ACEH,71.9
Simeulue,65.7
Aceh Singkil,68.91
Aceh Selatan,66.9
Aceh Tenggara,69.36
Aceh Timur,67.39
Aceh Tengah,73.14
Aceh Barat,71.22
Aceh Besar,73.55
Pidie,70.41
Bireuen,72.27
Aceh Utara,69.22
Aceh Barat Daya,66.56
Gayo Lues,66.87
Aceh Tamiang,69.23
Nagan Raya,69.11
Aceh Jaya,69.74
Bener Meriah,72.97
Pidie Jaya,72.87
Kota Banda Aceh,85.07
Kota Sabang,75.77
Kota Langsa,77.16
Kota Lhokseumawe,77.3
Kota Subulussalam,64.46
SUMATERA UTARA,71.74
Nias,61.65
Mandailing Natal,66.52
Tapanuli Selatan,69.75
Tapanuli Tengah,68.86
Tapanuli Utara,73.33
Toba Samosir / Toba,74.92
Labuhan Batu,71.94
Asahan,69.92
Simalungun,72.98
Dairi,71.42
Karo,74.25
Deli Serdang,75.43
Langkat,70.76
Nias Selatan,61.59
Humbang Hasundutan,68.83
Pakpak Bharat,67.47
Samosir,70.55
Serdang Bedagai,70.21
Batu Bara,68.35
Padang Lawas Utara,69.29
Padang Lawas,68.16
Labuhan Batu Selatan,71.39
Labuhan Batu Utara,71.43
Nias Utara,61.98
Nias Barat,61.14
Kota Sibolga,73.41
Kota Tanjung Balai,68.51
Kota Pematang Siantar,78.57
Kota Tebing Tinggi,75.08
Kota Medan,80.97
Kota Binjai,75.89
Kota Padangsidimpuan,75.06
Kota Gunungsitoli,69.3
SUMATERA BARAT,72.39
Kepulauan Mentawai,61.26
Pesisir Selatan,70.08
Solok,69.08
Sijunjung,67.66
Tanah Datar,72.14
Padang Pariaman,70.59
Agam,72.37
Lima Puluh Kota,69.67
Pasaman,66.46
Solok Selatan,68.94
Dharmasraya,71.52
Pasaman Barat,68.21
Kota Padang,82.68
Kota Solok,78.38
Kota Sawah Lunto,72.39
Kota Padang Panjang,78
Kota Bukittinggi,80.71
Kota Payakumbuh,78.95
Kota Pariaman,76.7
RIAU,73
Kuantan Singingi,70.78
Indragiri Hulu,70.05
Indragiri Hilir,66.84
Pelalawan,71.85
Siak,74.07
Kampar,73.15
Rokan Hulu,69.93
Bengkalis,73.44
Rokan Hilir,69.4
Kepulauan Meranti,65.93
Kota Pekanbaru,81.35
Kota Dumai,74.64
JAMBI,71.26
Kerinci,70.95
Merangin,69.07
Sarolangun,69.72
Batang Hari,69.67
Muaro Jambi,69.01
Tanjung Jabung Timur,63.92
Tanjung Jabung Barat,67.54
Tebo,69.02
Bungo,69.86
Kota Jambi,78.26
Kota Sungai Penuh,75.36
SUMATERA SELATAN,70.02
Ogan Komering Ulu,69.45
Ogan Komering Ilir,66.96
Muara Enim,68.88
Lahat,67.62
Musi Rawas,66.92
Musi Banyuasin,67.83
Banyu Asin,66.9
Ogan Komering Ulu Selatan,65.43
Ogan Komering Ulu Timur,69.34
Ogan Ilir,67.22
Empat Lawang,65.1
Penukal Abab Lematang Ilir,64.33
Musi Rawas Utara,64.32
Kota Palembang,78.44
Kota Prabumulih,74.4
Kota Pagar Alam,68.44
Kota Lubuklinggau,74.81
BENGKULU,71.21
Bengkulu Selatan,70.27
Rejang Lebong,70.1
Bengkulu Utara,68.8
Kaur,66.78
Seluma,66.69
Mukomuko,68.12
Lebong,66.84
Kepahiang,67.67
Bengkulu Tengah,67.3
Kota Bengkulu,80.35
LAMPUNG,69.57
Lampung Barat,67.5
Tanggamus,66.37
Lampung Selatan,68.22
Lampung Timur,69.34
Lampung Tengah,70.04
Lampung Utara,67.63
Way Kanan,67.19
Tulangbawang,68.23
Pesawaran,65.75
Pringsewu,69.97
Mesuji,63.52
Tulang Bawang Barat,65.93
Pesisir Barat,63.79
Kota Bandar Lampung,77.33
Kota Metro,76.77
KEP. BANGKA BELITUNG,71.3
Bangka,72.39
Belitung,72.46
Bangka Barat,69.05
Bangka Tengah,70.33
Bangka Selatan,66.54
Belitung Timur,70.84
Kota Pangkal Pinang,77.97
KEPULAUAN RIAU,75.48
Karimun,71.1
Bintan,73.98
Natuna,72.63
Lingga,64.98
Kepulauan Anambas,68.48
Kota Batam,81.09
Kota Tanjung Pinang,78.73
DKI JAKARTA,80.76
Kep. Seribu,71.4
Kota Jakarta Selatan,84.75
Kota Jakarta Timur,82.69
Kota Jakarta Pusat,81.24
Kota Jakarta Barat,81.21
Kota Jakarta Utara,80.17
JAWA BARAT,72.03
Bogor,70.65
Sukabumi,66.87
Cianjur,65.38
Bandung,72.41
Garut,66.22
Tasikmalaya,65.64
Ciamis,70.39
Kuningan,69.12
Cirebon,68.69
Majalengka,67.52
Sumedang,71.46
Indramayu,66.97
Subang,68.69
Purwakarta,70.67
Karawang,70.86
Bekasi,73.99
