Kota/Kabupaten,Tahun,HDI
Asahan,2020.0,70.29
Asahan,2021.0,70.49
Asahan,2022.0,71.13
Asahan,2023.0,71.56
Asahan,2024.0,72.09
Asmat,2013.0,45.54
Asmat,2014.0,45.91
Asmat,2015.0,46.62
Asmat,2016.0,47.31
Asmat,2017.0,48.49
Asmat,2018.0,49.37
Asmat,2019.0,50.37
Asmat,2020.0,50.55
Asmat,2021.0,51.29
Asmat,2022.0,52.22
Asmat,2023.0,53.19
Asmat,2024.0,53.92
Badung,2013.0,77.63
Badung,2014.0,77.98
Badung,2015.0,78.86
Badung,2016.0,79.8
Badung,2017.0,80.54
Badung,2018.0,80.87
Badung,2019.0,81.59
Badung,2020.0,81.6
Badung,2021.0,81.83
Badung,2022.0,82.13
Badung,2023.0,83.08
Badung,2024.0,83.87
Balangan,2013.0,64.03
Balangan,2014.0,64.44
Balangan,2015.0,65.34
Balangan,2016.0,66.25
Balangan,2017.0,67.25
Balangan,2018.0,67.88
Balangan,2019.0,68.39
Balangan,2020.0,68.82
Balangan,2021.0,69.11
Balangan,2022.0,69.73
Balangan,2023.0,70.49
Balangan,2024.0,71.34
Bandung,2013.0,68.58
Bandung,2014.0,69.06
Bandung,2015.0,70.05
Bandung,2016.0,70.69
Bandung,2017.0,71.02
Bandung,2018.0,71.75
Bandung,2019.0,72.41
Bandung,2020.0,72.39
Bandung,2021.0,72.73
Bandung,2022.0,73.16
Bandung,2023.0,73.74
Bandung,2024.0,74.27
Bandung Barat,2013.0,63.93
Bandung Barat,2014.0,64.27
Bandung Barat,2015.0,65.23
Bandung Barat,2016.0,65.81
Bandung Barat,2017.0,66.63
Bandung Barat,2018.0,67.46
Bandung Barat,2019.0,68.27
Bandung Barat,2020.0,68.08
Bandung Barat,2021.0,68.29
Bandung Barat,2022.0,69.04
Bandung Barat,2023.0,69.61
Bandung Barat,2024.0,70.03
Banggai,2013.0,66.39
Banggai,2014.0,67.11
Banggai,2015.0,67.44
Banggai,2016.0,68.17
Banggai,2017.0,69
Banggai,2018.0,69.85
Banggai,2019.0,70.36
Banggai,2020.0,70.52
Banggai,2021.0,70.6
Banggai,2022.0,71.08
Banggai,2023.0,71.7
Banggai,2024.0,72.32
Banggai Kepulauan,2013.0,61.74
Banggai Kepulauan,2014.0,62.33
Banggai Kepulauan,2015.0,62.97
Banggai Kepulauan,2016.0,63.45
Banggai Kepulauan,2017.0,64.07
Banggai Kepulauan,2018.0,64.68
Banggai Kepulauan,2019.0,65.13
Banggai Kepulauan,2020.0,65.42
Banggai Kepulauan,2021.0,65.61
Banggai Kepulauan,2022.0,66.08
Banggai Kepulauan,2023.0,66.82
Banggai Kepulauan,2024.0,67.43
Banggai Laut,2013.0,61.86
Banggai Laut,2014.0,62.12
Banggai Laut,2015.0,62.9
Banggai Laut,2016.0,63.49
Banggai Laut,2017.0,64.08
Banggai Laut,2018.0,64.8
Banggai Laut,2019.0,65.27
Banggai Laut,2020.0,65.43
Banggai Laut,2021.0,65.65
Banggai Laut,2022.0,66.22
Banggai Laut,2023.0,66.93
Banggai Laut,2024.0,67.43
Bangka,2013.0,69.34
Bangka,2014.0,69.79
Bangka,2015.0,70.03
Bangka,2016.0,70.43
Bangka,2017.0,71.09
Bangka,2018.0,71.8
Bangka,2019.0,72.39
Bangka,2020.0,72.4
Bangka,2021.0,72.46
Bangka,2022.0,72.95
Bangka,2023.0,73.66
Bangka,2024.0,73.98
Bangka Barat,2013.0,65.85
Bangka Barat,2014.0,66.43
Bangka Barat,2015.0,67.23
Bangka Barat,2016.0,67.6
Bangka Barat,2017.0,67.94
Bangka Barat,2018.0,68.68
Bangka Barat,2019.0,69.05
Bangka Barat,2020.0,69.08
Bangka Barat,2021.0,69.6
Bangka Barat,2022.0,70.12
Bangka Barat,2023.0,70.45
Bangka Barat,2024.0,70.67
Bangka Selatan,2013.0,62.96
Bangka Selatan,2014.0,63.54
Bangka Selatan,2015.0,63.89
Bangka Selatan,2016.0,64.57
Bangka Selatan,2017.0,65.02
Bangka Selatan,2018.0,65.98
Bangka Selatan,2019.0,66.54
Bangka Selatan,2020.0,66.9
Bangka Selatan,2021.0,67.06
Bangka Selatan,2022.0,67.95
Bangka Selatan,2023.0,68.51
Bangka Selatan,2024.0,68.86
Bangka Tengah,2013.0,67.67
Bangka Tengah,2014.0,68.09
Bangka Tengah,2015.0,68.66
Bangka Tengah,2016.0,68.76
Bangka Tengah,2017.0,68.99
Bangka Tengah,2018.0,69.52
Bangka Tengah,2019.0,70.33
Bangka Tengah,2020.0,70.45
Bangka Tengah,2021.0,70.89
Bangka Tengah,2022.0,71.4
Bangka Tengah,2023.0,71.71
Bangka Tengah,2024.0,71.9
Bangkalan,2013.0,60.19
Bangkalan,2014.0,60.71
Bangkalan,2015.0,61.49
Bangkalan,2016.0,62.06
Bangkalan,2017.0,62.3
Bangkalan,2018.0,62.87
Bangkalan,2019.0,63.79
Bangkalan,2020.0,64.11
Bangkalan,2021.0,64.36
Bangkalan,2022.0,65.05
Bangkalan,2023.0,65.75
Bangkalan,2024.0,66.27
Bangli,2013.0,65.47
Bangli,2014.0,65.75
Bangli,2015.0,66.24
Bangli,2016.0,67.03
Bangli,2017.0,68.24
Bangli,2018.0,68.96
Bangli,2019.0,69.35
Bangli,2020.0,69.36
Bangli,2021.0,69.37
Bangli,2022.0,70.26
Bangli,2023.0,70.79
Bangli,2024.0,71.34
Banjar,2013.0,65.36
Banjar,2014.0,65.71
Banjar,2015.0,66.39
Banjar,2016.0,66.87
Banjar,2017.0,67.77
Banjar,2018.0,68.32
Banjar,2019.0,68.94
Banjar,2020.0,69.18
Banjar,2021.0,69.89
Banjar,2022.0,70.72
Banjar,2023.0,71.46
Banjar,2024.0,71.87
Banjarnegara,2013.0,62.84
Banjarnegara,2014.0,63.15
Banjarnegara,2015.0,64.73
Banjarnegara,2016.0,65.52
Banjarnegara,2017.0,65.86
Banjarnegara,2018.0,66.54
Banjarnegara,2019.0,67.34
Banjarnegara,2020.0,67.45
Banjarnegara,2021.0,67.86
Banjarnegara,2022.0,68.61
Banjarnegara,2023.0,69.14
Banjarnegara,2024.0,69.6
Bantaeng,2013.0,64.88
Bantaeng,2014.0,65.77
Bantaeng,2015.0,66.2
Bantaeng,2016.0,66.59
Bantaeng,2017.0,67.27
Bantaeng,2018.0,67.76
Bantaeng,2019.0,68.3
Bantaeng,2020.0,68.73
Bantaeng,2021.0,68.99
Bantaeng,2022.0,69.69
Bantaeng,2023.0,70.57
Bantaeng,2024.0,71.48
Bantul,2013.0,76.78
Bantul,2014.0,77.11
Bantul,2015.0,77.99
Bantul,2016.0,78.42
Bantul,2017.0,78.67
Bantul,2018.0,79.45
Bantul,2019.0,80.01
Bantul,2020.0,80.01
Bantul,2021.0,80.28
Bantul,2022.0,80.69
Bantul,2023.0,81.39
Bantul,2024.0,81.74
Banyuasin,2013.0,62.42
Banyuasin,2014.0,63.21
Banyuasin,2015.0,64.15
Banyuasin,2016.0,65.01
Banyuasin,2017.0,65.85
Banyuasin,2018.0,66.4
Banyuasin,2019.0,66.9
Banyuasin,2020.0,66.74
Banyuasin,2021.0,67.13
Banyuasin,2022.0,67.93
Banyuasin,2023.0,68.65
Banyuasin,2024.0,69.51
Banyumas,2013.0,68.55
Banyumas,2014.0,69.25
Banyumas,2015.0,69.89
Banyumas,2016.0,70.49
Banyumas,2017.0,70.75
Banyumas,2018.0,71.3
Banyumas,2019.0,71.96
Banyumas,2020.0,71.98
Banyumas,2021.0,72.44
Banyumas,2022.0,73.17
Banyumas,2023.0,73.86
Banyumas,2024.0,74.52
Banyuwangi,2013.0,66.74
Banyuwangi,2014.0,67.31
Banyuwangi,2015.0,68.08
Banyuwangi,2016.0,69
Banyuwangi,2017.0,69.64
Banyuwangi,2018.0,70.06
Banyuwangi,2019.0,70.6
Banyuwangi,2020.0,70.62
Banyuwangi,2021.0,71.38
Banyuwangi,2022.0,71.94
Banyuwangi,2023.0,72.61
Banyuwangi,2024.0,73.11
Barito Kuala,2013.0,62.12
Barito Kuala,2014.0,62.56
Barito Kuala,2015.0,63.53
Barito Kuala,2016.0,64.33
Barito Kuala,2017.0,64.93
Barito Kuala,2018.0,65.91
Barito Kuala,2019.0,66.24
Barito Kuala,2020.0,66.22
Barito Kuala,2021.0,66.64
Barito Kuala,2022.0,67.37
Barito Kuala,2023.0,68.11
Barito Kuala,2024.0,68.84
Barito Selatan,2013.0,66.2
Barito Selatan,2014.0,66.61
Barito Selatan,2015.0,68.27
Barito Selatan,2016.0,69
Barito Selatan,2017.0,69.25
Barito Selatan,2018.0,69.73
Barito Selatan,2019.0,70.1
Barito Selatan,2020.0,70.22
Barito Selatan,2021.0,70.54
Barito Selatan,2022.0,71.01
Barito Selatan,2023.0,71.65
Barito Selatan,2024.0,72.36
Barito Timur,2013.0,68.82
Barito Timur,2014.0,69.12
Barito Timur,2015.0,69.71
Barito Timur,2016.0,70.33
Barito Timur,2017.0,70.57
Barito Timur,2018.0,70.82
Barito Timur,2019.0,71.34
Barito Timur,2020.0,71.39
Barito Timur,2021.0,71.47
Barito Timur,2022.0,72.07
Barito Timur,2023.0,72.7
Barito Timur,2024.0,73.26
Barito Utara,2013.0,65.12
Barito Utara,2014.0,66.3
Barito Utara,2015.0,67.38
Barito Utara,2016.0,68.28
Barito Utara,2017.0,69.07
Barito Utara,2018.0,69.72
Barito Utara,2019.0,70.52
Barito Utara,2020.0,70.59
Barito Utara,2021.0,70.79
Barito Utara,2022.0,71.21
Barito Utara,2023.0,71.84
Barito Utara,2024.0,72.31
Barru,2013.0,67.02
Barru,2014.0,67.94
Barru,2015.0,68.64
Barru,2016.0,69.07
Barru,2017.0,69.56
Barru,2018.0,70.05
Barru,2019.0,70.6
Barru,2020.0,71
Barru,2021.0,71.13
Barru,2022.0,71.53
Barru,2023.0,72.36
Barru,2024.0,73.06
Batang,2013.0,63.6
Batang,2014.0,64.07
Batang,2015.0,65.46
Batang,2016.0,66.38
Batang,2017.0,67.35
Batang,2018.0,67.86
Batang,2019.0,68.42
Batang,2020.0,68.65
Batang,2021.0,68.92
Batang,2022.0,69.45
Batang,2023.0,70.2
Batang,2024.0,70.74
Batanghari,2013.0,67.24
Batanghari,2014.0,67.68
Batanghari,2015.0,68.05
Batanghari,2016.0,68.7
Batanghari,2017.0,68.92
Batanghari,2018.0,69.33
Batanghari,2019.0,69.67
Batanghari,2020.0,69.84
Batanghari,2021.0,70.11
Batanghari,2022.0,70.51
Batanghari,2023.0,71.02
Batanghari,2024.0,71.67
Batu Bara,2013.0,65.06
Batu Bara,2014.0,65.5
Batu Bara,2015.0,66.02
Batu Bara,2016.0,66.69
Batu Bara,2017.0,67.2
Batu Bara,2018.0,67.67
Batu Bara,2019.0,68.35
Batu Bara,2020.0,68.36
Batu Bara,2021.0,68.58
Batu Bara,2022.0,69.51
Batu Bara,2023.0,70.31
Batu Bara,2024.0,70.83
Bekasi,2013.0,70.09
Bekasi,2014.0,70.51
Bekasi,2015.0,71.19
Bekasi,2016.0,71.83
Bekasi,2017.0,72.63
Bekasi,2018.0,73.49
Bekasi,2019.0,73.99
Bekasi,2020.0,74.07
Bekasi,2021.0,74.45
Bekasi,2022.0,75.22
Bekasi,2023.0,75.76
Bekasi,2024.0,76.44
Belitung,2013.0,69.27
Belitung,2014.0,69.56
Belitung,2015.0,70.29
Belitung,2016.0,70.81
Belitung,2017.0,70.93
Belitung,2018.0,71.7
Belitung,2019.0,72.46
Belitung,2020.0,72.51
Belitung,2021.0,72.57
Belitung,2022.0,73.38
Belitung,2023.0,74.02
Belitung,2024.0,74.47
Belitung Timur,2013.0,67.71
Belitung Timur,2014.0,68.1
Belitung Timur,2015.0,68.83
Belitung Timur,2016.0,69.3
Belitung Timur,2017.0,69.57
Belitung Timur,2018.0,70.22
Belitung Timur,2019.0,70.84
Belitung Timur,2020.0,70.92
Belitung Timur,2021.0,71.42
Belitung Timur,2022.0,72.29
Belitung Timur,2023.0,72.86
Belitung Timur,2024.0,73.19
Belu,2013.0,59.12
Belu,2014.0,59.72
Belu,2015.0,60.54
Belu,2016.0,61.04
Belu,2017.0,61.44
Belu,2018.0,61.86
Belu,2019.0,62.54
Belu,2020.0,62.68
Belu,2021.0,62.77
Belu,2022.0,63.22
Belu,2023.0,63.83
Belu,2024.0,64.43
Bener Meriah,2013.0,69.74
Bener Meriah,2014.0,70
Bener Meriah,2015.0,70.62
Bener Meriah,2016.0,71.42
Bener Meriah,2017.0,71.89
Bener Meriah,2018.0,72.14
Bener Meriah,2019.0,72.97
Bener Meriah,2020.0,72.98
Bener Meriah,2021.0,73.27
Bener Meriah,2022.0,73.9
Bener Meriah,2023.0,74.49
Bener Meriah,2024.0,75.01
Bengkalis,2013.0,70.6
Bengkalis,2014.0,70.84
Bengkalis,2015.0,71.29
Bengkalis,2016.0,71.98
Bengkalis,2017.0,72.27
Bengkalis,2018.0,72.94
Bengkalis,2019.0,73.44
Bengkalis,2020.0,73.46
Bengkalis,2021.0,73.58
Bengkalis,2022.0,74.38
Bengkalis,2023.0,74.97
Bengkalis,2024.0,75.28
Bengkayang,2013.0,63.99
Bengkayang,2014.0,64.4
Bengkayang,2015.0,64.65
Bengkayang,2016.0,65.45
Bengkayang,2017.0,65.99
Bengkayang,2018.0,66.85
Bengkayang,2019.0,67.57
Bengkayang,2020.0,67.87
Bengkayang,2021.0,68.04
Bengkayang,2022.0,68.74
Bengkayang,2023.0,69.53
Bengkayang,2024.0,70.3
Bengkulu Selatan,2013.0,67.61
Bengkulu Selatan,2014.0,68.28
Bengkulu Selatan,2015.0,68.57
Bengkulu Selatan,2016.0,68.71
Bengkulu Selatan,2017.0,69.04
Bengkulu Selatan,2018.0,69.85
Bengkulu Selatan,2019.0,70.27
Bengkulu Selatan,2020.0,70.63
Bengkulu Selatan,2021.0,70.75
Bengkulu Selatan,2022.0,71.42
Bengkulu Selatan,2023.0,71.91
Bengkulu Selatan,2024.0,72.35
Bengkulu Tengah,2013.0,63.71
Bengkulu Tengah,2014.0,64.1
Bengkulu Tengah,2015.0,64.68
Bengkulu Tengah,2016.0,65.44
Bengkulu Tengah,2017.0,65.8
Bengkulu Tengah,2018.0,66.65
Bengkulu Tengah,2019.0,67.3
Bengkulu Tengah,2020.0,67.61
Bengkulu Tengah,2021.0,67.96
Bengkulu Tengah,2022.0,68.47
Bengkulu Tengah,2023.0,68.99
Bengkulu Tengah,2024.0,69.84
Bengkulu Utara,2013.0,66.67
Bengkulu Utara,2014.0,67.27
Bengkulu Utara,2015.0,67.46
Bengkulu Utara,2016.0,67.63
Bengkulu Utara,2017.0,67.8
Bengkulu Utara,2018.0,68.36
Bengkulu Utara,2019.0,68.8
Bengkulu Utara,2020.0,68.82
