Tahun,Provinsi,HDI
2019,Kalimantan Utara,71.15
2020,Kalimantan Utara,70.63
2021,Kalimantan Utara,71.19
2022,Kalimantan Utara,71.83
2023,Kalimantan Utara,72.49
2024,Kalimantan Utara,73.02
2013,Kepulauan Bangka Belitung,67.92
2014,Kepulauan Bangka Belitung,68.27
2015,Kepulauan Bangka Belitung,69.05
2016,Kepulauan Bangka Belitung,69.55
2017,Kepulauan Bangka Belitung,69.99
2018,Kepulauan Bangka Belitung,70.67
2019,Kepulauan Bangka Belitung,71.3
2020,Kepulauan Bangka Belitung,71.47
2021,Kepulauan Bangka Belitung,71.69
2022,Kepulauan Bangka Belitung,72.24
2023,Kepulauan Bangka Belitung,72.85
2024,Kepulauan Bangka Belitung,73.33
2013,Kepulauan Riau,73.02
2014,Kepulauan Riau,73.4
2015,Kepulauan Riau,73.75
2016,Kepulauan Riau,73.99
2017,Kepulauan Riau,74.45
2018,Kepulauan Riau,74.84
2019,Kepulauan Riau,75.48
2020,Kepulauan Riau,75.59
2021,Kepulauan Riau,75.79
2022,Kepulauan Riau,76.46
2023,Kepulauan Riau,77.11
2024,Kepulauan Riau,77.97
2013,Lampung,65.73
2014,Lampung,66.42
2015,Lampung,66.95
2016,Lampung,67.65
2017,Lampung,68.25
2018,Lampung,69.02
2019,Lampung,69.57
2020,Lampung,69.69
2021,Lampung,69.9
2022,Lampung,70.45
2023,Lampung,71.15
2024,Lampung,71.81
2013,Maluku,66.09
2014,Maluku,66.74
2015,Maluku,67.05
2016,Maluku,67.6
2017,Maluku,68.19
2018,Maluku,68.87
2019,Maluku,69.45
2020,Maluku,69.49
2021,Maluku,69.71
2022,Maluku,70.22
2023,Maluku,70.94
2024,Maluku,71.57
2013,Maluku Utara,64.78
2014,Maluku Utara,65.18
2015,Maluku Utara,65.91
2016,Maluku Utara,66.63
2017,Maluku Utara,67.2
2018,Maluku Utara,67.76
2019,Maluku Utara,68.7
2020,Maluku Utara,68.49
2021,Maluku Utara,68.76
2022,Maluku Utara,69.47
2023,Maluku Utara,70.21
2024,Maluku Utara,71.03
2013,Nusa Tenggara Barat,63.76
2014,Nusa Tenggara Barat,64.31
2015,Nusa Tenggara Barat,65.19
2016,Nusa Tenggara Barat,65.81
2017,Nusa Tenggara Barat,66.58
2018,Nusa Tenggara Barat,67.3
2019,Nusa Tenggara Barat,68.14
2020,Nusa Tenggara Barat,68.25
2021,Nusa Tenggara Barat,68.65
2022,Nusa Tenggara Barat,69.46
2023,Nusa Tenggara Barat,70.2
2024,Nusa Tenggara Barat,70.93
2013,Nusa Tenggara Timur,61.68
2014,Nusa Tenggara Timur,62.26
2015,Nusa Tenggara Timur,62.67
2016,Nusa Tenggara Timur,63.13
2017,Nusa Tenggara Timur,63.73
2018,Nusa Tenggara Timur,64.39
2019,Nusa Tenggara Timur,65.23
2020,Nusa Tenggara Timur,65.19
2021,Nusa Tenggara Timur,65.28
2022,Nusa Tenggara Timur,65.9
2023,Nusa Tenggara Timur,66.68
2024,Nusa Tenggara Timur,67.39
2013,Papua,56.25
2014,Papua,56.75
2015,Papua,57.25
2016,Papua,58.05
2017,Papua,59.09
2018,Papua,60.06
2019,Papua,60.84
2020,Papua,60.44
2021,Papua,60.62
2022,Papua,71.76
2023,Papua,72.41
2024,Papua,73
2013,Papua Barat,60.91
2014,Papua Barat,61.28
2015,Papua Barat,61.73
2016,Papua Barat,62.21
2017,Papua Barat,62.99
2018,Papua Barat,63.74
2019,Papua Barat,64.7
2020,Papua Barat,65.09
2021,Papua Barat,65.26
2022,Papua Barat,65.16
2023,Papua Barat,66.16
2024,Papua Barat,67.02
2013,Papua Barat Daya,-
2014,Papua Barat Daya,-
2015,Papua Barat Daya,-
2016,Papua Barat Daya,-
2017,Papua Barat Daya,-
2018,Papua Barat Daya,-
2019,Papua Barat Daya,-
2020,Papua Barat Daya,-
2021,Papua Barat Daya,-
2022,Papua Barat Daya,67.59
2023,Papua Barat Daya,68.05
2024,Papua Barat Daya,68.63
