Provinsi/Kabupaten/Kota,
,[Metode Baru] Indeks Pembangunan Manusia
,2021
ACEH,72.18
Simeulue,66.41
Aceh Singkil,69.22
Aceh Selatan,67.44
Aceh Tenggara,69.44
Aceh Timur,67.83
Aceh Tengah,73.37
Aceh Barat,71.67
Aceh Besar,73.58
Pidie,70.7
Bireuen,72.33
Aceh Utara,69.46
Aceh Barat Daya,66.99
Gayo Lues,67.56
Aceh Tamiang,69.48
Nagan Raya,69.31
Aceh Jaya,69.84
Bener Meriah,73.27
Pidie Jaya,73.6
Kota Banda Aceh,85.71
Kota Sabang,76.11
Kota Langsa,77.44
Kota Lhokseumawe,77.57
Kota Subulussalam,65.27
SUMATERA UTARA,72
Nias,62.74
Mandailing Natal,67.19
Tapanuli Selatan,70.33
Tapanuli Tengah,69.61
Tapanuli Utara,73.76
Toba Samosir / Toba,75.39
Labuhan Batu,72.09
Asahan,70.49
Simalungun,73.4
Dairi,71.84
Karo,74.83
Deli Serdang,75.53
Langkat,71.35
Nias Selatan,62.35
Humbang Hasundutan,69.41
Pakpak Bharat,67.94
Samosir,70.83
Serdang Bedagai,70.56
Batu Bara,68.58
Padang Lawas Utara,70.11
Padang Lawas,68.64
Labuhan Batu Selatan,71.69
Labuhan Batu Utara,71.87
Nias Utara,62.82
Nias Barat,61.99
Kota Sibolga,73.94
Kota Tanjung Balai,68.94
Kota Pematang Siantar,79.17
Kota Tebing Tinggi,75.42
Kota Medan,81.21
Kota Binjai,76.01
Kota Padangsidimpuan,75.48
Kota Gunungsitoli,69.61
SUMATERA BARAT,72.65
Kepulauan Mentawai,61.35
Pesisir Selatan,70.03
Solok,69.24
Sijunjung,67.86
Tanah Datar,72.46
Padang Pariaman,70.76
Agam,72.57
Lima Puluh Kota,69.68
Pasaman,66.77
Solok Selatan,69.23
Dharmasraya,71.76
Pasaman Barat,68.76
Kota Padang,82.9
Kota Solok,78.41
Kota Sawah Lunto,72.88
Kota Padang Panjang,77.97
Kota Bukittinggi,80.7
Kota Payakumbuh,79.08
Kota Pariaman,77.07
RIAU,72.94
Kuantan Singingi,70.6
Indragiri Hulu,70.01
Indragiri Hilir,66.63
Pelalawan,72.08
Siak,73.98
Kampar,73.02
Rokan Hulu,69.67
Bengkalis,73.58
Rokan Hilir,69.34
Kepulauan Meranti,65.7
Kota Pekanbaru,81.58
Kota Dumai,74.75
JAMBI,71.63
Kerinci,71.45
Merangin,69.53
Sarolangun,70.25
Batang Hari,70.11
Muaro Jambi,69.55
Tanjung Jabung Timur,64.91
Tanjung Jabung Barat,68.16
Tebo,69.35
Bungo,70.15
Kota Jambi,79.12
Kota Sungai Penuh,75.7
SUMATERA SELATAN,70.24
Ogan Komering Ulu,69.6
Ogan Komering Ilir,67.17
Muara Enim,68.86
Lahat,67.58
Musi Rawas,67.01
Musi Banyuasin,68.1
Banyu Asin,67.13
Ogan Komering Ulu Selatan,65.34
Ogan Komering Ulu Timur,69.58
Ogan Ilir,67.17
Empat Lawang,65.39
Penukal Abab Lematang Ilir,64.88
Musi Rawas Utara,64.93
Kota Palembang,78.72
Kota Prabumulih,74.67
Kota Pagar Alam,68.68
Kota Lubuklinggau,74.89
BENGKULU,71.64
Bengkulu Selatan,70.75
Rejang Lebong,70.77
Bengkulu Utara,69.28
Kaur,67.17
Seluma,67.03
Mukomuko,68.64
Lebong,67.46
Kepahiang,68.62
Bengkulu Tengah,67.96
Kota Bengkulu,80.54
LAMPUNG,69.9
Lampung Barat,67.9
Tanggamus,66.65
Lampung Selatan,68.49
Lampung Timur,69.66
Lampung Tengah,70.23
Lampung Utara,67.89
Way Kanan,67.57
Tulangbawang,68.73
Pesawaran,66.14
Pringsewu,70.45
Mesuji,64.04
Tulang Bawang Barat,66.22
Pesisir Barat,64.3
Kota Bandar Lampung,77.58
Kota Metro,77.49
KEP. BANGKA BELITUNG,71.69
Bangka,72.46
Belitung,72.57
Bangka Barat,69.6
Bangka Tengah,70.89
Bangka Selatan,67.06
Belitung Timur,71.42
Kota Pangkal Pinang,78.57
KEPULAUAN RIAU,75.79
Karimun,71.7
Bintan,74.57
Natuna,73.09
Lingga,65.83
Kepulauan Anambas,69.23
Kota Batam,81.12
Kota Tanjung Pinang,78.93
DKI JAKARTA,81.11
Kep. Seribu,72.1
Kota Jakarta Selatan,84.9
Kota Jakarta Timur,82.97
Kota Jakarta Pusat,81.56
Kota Jakarta Barat,81.76
Kota Jakarta Utara,80.51
JAWA BARAT,72.45
Bogor,70.6
Sukabumi,67.07
Cianjur,65.56
Bandung,72.73
Garut,66.45
Tasikmalaya,65.9
Ciamis,70.93
Kuningan,69.71
Cirebon,69.12
Majalengka,67.81
Sumedang,71.8
Indramayu,67.64
Subang,69.13
Purwakarta,70.98
Karawang,70.94
Bekasi,74.45
