tahun;provinsi;stunting_prevalence;life_expectancy_at_birth;hdi
2021;Kalimantan Selatan;30;68.83;71.28
2022;Kalimantan Selatan;24,6;69.13;71.84
2023;Kalimantan Selatan;24,7;69.42;72.5
2024;Kalimantan Selatan;22,9;69.65;73.03
2013;Kalimantan Tengah;;69.29;67.41
2014;Kalimantan Tengah;;69.39;67.77
2015;Kalimantan Tengah;;69.54;68.53
2016;Kalimantan Tengah;;69.57;69.13
2017;Kalimantan Tengah;;69.59;69.79
2018;Kalimantan Tengah;;69.64;70.42
2019;Kalimantan Tengah;32,3;69.69;70.91
2020;Kalimantan Tengah;30,48;69.74;71.05
2021;Kalimantan Tengah;27,4;69.79;71.25
2022;Kalimantan Tengah;26,9;70.04;71.63
2023;Kalimantan Tengah;23,5;70.27;72.2
2024;Kalimantan Tengah;22,1;70.43;72.73
2013;Kalimantan Timur;;73.52;73.21
2014;Kalimantan Timur;;73.62;73.82
2015;Kalimantan Timur;;73.65;74.17
2016;Kalimantan Timur;;73.68;74.59
2017;Kalimantan Timur;;73.7;75.12
2018;Kalimantan Timur;;73.96;75.83
2019;Kalimantan Timur;28,09;74.22;76.61
2020;Kalimantan Timur;27,49;74.33;76.24
2021;Kalimantan Timur;22,8;74.61;76.88
2022;Kalimantan Timur;23,9;74.62;77.44
2023;Kalimantan Timur;22,9;74.72;78.2
2024;Kalimantan Timur;22,2;75.03;78.83
2013;Kalimantan Utara;;72.02;67.99
2014;Kalimantan Utara;;72.12;68.64
2015;Kalimantan Utara;;72.16;68.76
2016;Kalimantan Utara;;72.43;69.2
2017;Kalimantan Utara;;72.47;69.84
2018;Kalimantan Utara;;72.5;70.56
2019;Kalimantan Utara;26,25;72.54;71.15
2020;Kalimantan Utara;25,76;72.59;70.63
2021;Kalimantan Utara;27,5;72.65;71.19
2022;Kalimantan Utara;22,1;72.67;71.83
2023;Kalimantan Utara;21,3;72.69;72.49
2024;Kalimantan Utara;17,6;72.73;73.02
2013;Kepulauan Bangka Belitung;;69.64;67.92
2014;Kepulauan Bangka Belitung;;69.72;68.27
2015;Kepulauan Bangka Belitung;;69.88;69.05
2016;Kepulauan Bangka Belitung;;69.92;69.55
2017;Kepulauan Bangka Belitung;;69.95;69.99
2018;Kepulauan Bangka Belitung;;70.18;70.67
2019;Kepulauan Bangka Belitung;19,93;70.5;71.3
2020;Kepulauan Bangka Belitung;20,94;70.64;71.47
2021;Kepulauan Bangka Belitung;18,6;70.73;71.69
2022;Kepulauan Bangka Belitung;18,5;70.98;72.24
2023;Kepulauan Bangka Belitung;20,6;71.23;72.85
2024;Kepulauan Bangka Belitung;20,1;71.49;73.33
2013;Kepulauan Riau;;69.05;73.02
2014;Kepulauan Riau;;69.15;73.4
2015;Kepulauan Riau;;69.41;73.75
2016;Kepulauan Riau;;69.45;73.99
2017;Kepulauan Riau;;69.48;74.45
2018;Kepulauan Riau;;69.64;74.84
2019;Kepulauan Riau;16,82;69.8;75.48
2020;Kepulauan Riau;13,72;69.96;75.59
2021;Kepulauan Riau;17,6;70.12;75.79
2022;Kepulauan Riau;15,4;70.5;76.46
2023;Kepulauan Riau;16,8;70.91;77.11
2024;Kepulauan Riau;15;71.24;77.97
2013;Lampung;;69.55;65.73
2014;Lampung;;69.66;66.42
2015;Lampung;;69.9;66.95
2016;Lampung;;69.94;67.65
2017;Lampung;;69.95;68.25
2018;Lampung;;70.18;69.02
2019;Lampung;26,26;70.51;69.57
2020;Lampung;24,4;70.65;69.69
2021;Lampung;18,5;70.73;69.9
2022;Lampung;15,2;70.99;70.45
2023;Lampung;14,9;71.25;71.15
2024;Lampung;15,9;71.5;71.81
2013;Maluku;;64.93;66.09
2014;Maluku;;65.01;66.74
2015;Maluku;;65.31;67.05
2016;Maluku;;65.35;67.6
2017;Maluku;;65.4;68.19
2018;Maluku;;65.59;68.87
2019;Maluku;30,38;65.82;69.45
