Provinsi/Kabupaten/Kota,
,[Metode Baru] Indeks Pembangunan Manusia
,2013
ACEH,68.3
Simeulue,61.68
Aceh Singkil,64.87
Aceh Selatan,62.27
Aceh Tenggara,65.55
Aceh Timur,63.27
Aceh Tengah,70.51
Aceh Barat,66.86
Aceh Besar,70.61
Pidie,67.59
Bireuen,68.23
Aceh Utara,65.36
Aceh Barat Daya,62.62
Gayo Lues,63.22
Aceh Tamiang,65.56
Nagan Raya,65.23
Aceh Jaya,66.92
Bener Meriah,69.74
Pidie Jaya,69.26
Kota Banda Aceh,81.84
Kota Sabang,71.07
Kota Langsa,73.4
Kota Lhokseumawe,74.13
Kota Subulussalam,60.11
SUMATERA UTARA,68.36
Nias,57.43
Mandailing Natal,62.91
Tapanuli Selatan,66.75
Tapanuli Tengah,65.64
Tapanuli Utara,70.5
Toba Samosir / Toba,72.36
Labuhan Batu,69.45
Asahan,66.58
Simalungun,70.28
Dairi,67.15
Karo,71.62
Deli Serdang,71.39
Langkat,67.17
Nias Selatan,56.78
Humbang Hasundutan,64.92
Pakpak Bharat,64.73
Samosir,66.8
Serdang Bedagai,67.11
Batu Bara,65.06
Padang Lawas Utara,66.13
Padang Lawas,64.62
Labuhan Batu Selatan,67.78
Labuhan Batu Utara,68.28
Nias Utara,58.29
Nias Barat,56.58
Kota Sibolga,70.45
Kota Tanjung Balai,65.4
Kota Pematang Siantar,75.05
Kota Tebing Tinggi,71.85
Kota Medan,78
Kota Binjai,72.02
Kota Padangsidimpuan,71.68
Kota Gunungsitoli,65.25
SUMATERA BARAT,68.91
Kepulauan Mentawai,56.33
Pesisir Selatan,67.31
Solok,66.15
Sijunjung,64.48
Tanah Datar,68.12
Padang Pariaman,67.15
Agam,68.73
Lima Puluh Kota,66.3
Pasaman,62.91
Solok Selatan,65.86
Dharmasraya,68.71
Pasaman Barat,63.92
Kota Padang,79.23
Kota Solok,75.54
Kota Sawah Lunto,69.07
Kota Padang Panjang,74.54
Kota Bukittinggi,77.67
Kota Payakumbuh,76.34
Kota Pariaman,74.51
RIAU,69.91
Kuantan Singingi,66.65
Indragiri Hulu,66.68
Indragiri Hilir,63.44
Pelalawan,68.29
Siak,70.84
Kampar,70.46
Rokan Hulu,66.07
Bengkalis,70.6
Rokan Hilir,65.46
Kepulauan Meranti,62.53
Kota Pekanbaru,78.16
Kota Dumai,71.59
JAMBI,67.76
Kerinci,67.49
Merangin,65.82
Sarolangun,67.13
Batang Hari,67.24
Muaro Jambi,65.14
Tanjung Jabung Timur,59.41
Tanjung Jabung Barat,63.54
Tebo,65.91
Bungo,67.54
Kota Jambi,74.21
Kota Sungai Penuh,72.09
SUMATERA SELATAN,66.16
Ogan Komering Ulu,65.51
Ogan Komering Ilir,63.52
Muara Enim,64.34
Lahat,64.15
Musi Rawas,62.23
Musi Banyuasin,64.18
Banyu Asin,62.42
Ogan Komering Ulu Selatan,61.58
Ogan Komering Ulu Timur,66.09
Ogan Ilir,63.64
Empat Lawang,62.74
Penukal Abab Lematang Ilir,59.69
Musi Rawas Utara,60.56
Kota Palembang,75.49
Kota Prabumulih,71.87
Kota Pagar Alam,64.14
Kota Lubuklinggau,72.55
BENGKULU,67.5
Bengkulu Selatan,67.61
Rejang Lebong,66.11
Bengkulu Utara,66.67
Kaur,63.17
Seluma,62.1
Mukomuko,64.79
Lebong,63.15
Kepahiang,64.44
Bengkulu Tengah,63.71
Kota Bengkulu,76.16
LAMPUNG,65.73
Lampung Barat,63.21
Tanggamus,61.89
Lampung Selatan,63.35
Lampung Timur,66.07
Lampung Tengah,66.57
Lampung Utara,64
Way Kanan,63.92
Tulangbawang,64.91
Pesawaran,60.94
Pringsewu,66.14
Mesuji,58.16
Tulang Bawang Barat,61.46
Pesisir Barat,58.95
Kota Bandar Lampung,73.93
Kota Metro,74.27
KEP. BANGKA BELITUNG,67.92
Bangka,69.34
Belitung,69.27
Bangka Barat,65.85
Bangka Tengah,67.67
Bangka Selatan,62.96
Belitung Timur,67.71
Kota Pangkal Pinang,76.14
KEPULAUAN RIAU,73.02
Karimun,68.52
Bintan,71.31
Natuna,69.39
Lingga,60.13
Kepulauan Anambas,64.86
Kota Batam,78.65
Kota Tanjung Pinang,76.7
DKI JAKARTA,78.08
Kep. Seribu,67.62
Kota Jakarta Selatan,82.72
Kota Jakarta Timur,79.88
Kota Jakarta Pusat,78.81
Kota Jakarta Barat,78.79
Kota Jakarta Utara,77.16
JAWA BARAT,68.25
Bogor,66.74
Sukabumi,63.63
Cianjur,61.68
Bandung,68.58
Garut,61.67
Tasikmalaya,62.4
Ciamis,67.2
Kuningan,66.16
Cirebon,65.06
Majalengka,63.71
Sumedang,68.47
Indramayu,62.98
Subang,65.48
Purwakarta,67.09
Karawang,66.61
Bekasi,70.09
