Provinsi/Kabupaten/Kota,
,[Metode Baru] Indeks Pembangunan Manusia
,2024
ACEH,74.03
Simeulue,69.01
Aceh Singkil,70.75
Aceh Selatan,69.1
Aceh Tenggara,71.7
Aceh Timur,69.87
Aceh Tengah,75.41
Aceh Barat,73.69
Aceh Besar,75.13
Pidie,72.31
Bireuen,74.45
Aceh Utara,71.7
Aceh Barat Daya,68.75
Gayo Lues,69.83
Aceh Tamiang,72.32
Nagan Raya,71.72
Aceh Jaya,71.83
Bener Meriah,75.01
Pidie Jaya,75.16
Kota Banda Aceh,87.17
Kota Sabang,78.32
Kota Langsa,78.81
Kota Lhokseumawe,79.55
Kota Subulussalam,68.04
SUMATERA UTARA,74.02
Nias,65.55
Mandailing Natal,69.33
Tapanuli Selatan,72.14
Tapanuli Tengah,71.52
Tapanuli Utara,75.23
Toba Samosir / Toba,76.91
Labuhan Batu,74.18
Asahan,72.09
Simalungun,74.97
Dairi,73.92
Karo,76.55
Deli Serdang,76.92
Langkat,72.73
Nias Selatan,65.02
Humbang Hasundutan,71.59
Pakpak Bharat,70.36
Samosir,72.88
Serdang Bedagai,72.47
Batu Bara,70.83
Padang Lawas Utara,72.32
Padang Lawas,71.27
Labuhan Batu Selatan,73.67
Labuhan Batu Utara,74.4
Nias Utara,65.62
Nias Barat,64.67
Kota Sibolga,75.66
Kota Tanjung Balai,71.1
Kota Pematang Siantar,81.17
Kota Tebing Tinggi,77.45
Kota Medan,82.76
Kota Binjai,78.1
Kota Padangsidimpuan,76.96
Kota Gunungsitoli,71.41
SUMATERA BARAT,74.49
Kepulauan Mentawai,63.99
Pesisir Selatan,72.02
Solok,71.02
Sijunjung,70.23
Tanah Datar,74.9
Padang Pariaman,73.1
Agam,74.66
Lima Puluh Kota,71.14
Pasaman,68.89
Solok Selatan,71.5
Dharmasraya,74.06
Pasaman Barat,70.93
Kota Padang,83.99
Kota Solok,80
Kota Sawah Lunto,75.13
Kota Padang Panjang,80.17
Kota Bukittinggi,82.51
Kota Payakumbuh,80.61
Kota Pariaman,78.88
RIAU,74.79
Kuantan Singingi,72.33
Indragiri Hulu,71.48
Indragiri Hilir,68.38
Pelalawan,74.08
Siak,75.45
Kampar,74.85
Rokan Hulu,71.82
Bengkalis,75.28
Rokan Hilir,71.2
Kepulauan Meranti,67.92
Kota Pekanbaru,82.89
Kota Dumai,76.19
JAMBI,73.43
Kerinci,73.11
Merangin,71.66
Sarolangun,72.01
Batang Hari,71.67
Muaro Jambi,71.91
Tanjung Jabung Timur,67.54
Tanjung Jabung Barat,69.93
Tebo,71.32
Bungo,71.92
Kota Jambi,81.04
Kota Sungai Penuh,77.4
SUMATERA SELATAN,72.3
Ogan Komering Ulu,71.55
Ogan Komering Ilir,69.33
Muara Enim,71
Lahat,69.77
Musi Rawas,68.95
Musi Banyuasin,70.12
Banyu Asin,69.51
Ogan Komering Ulu Selatan,67.65
Ogan Komering Ulu Timur,71.55
Ogan Ilir,69.4
Empat Lawang,67.25
Penukal Abab Lematang Ilir,67.48
Musi Rawas Utara,67.4
Kota Palembang,80.57
Kota Prabumulih,77.08
Kota Pagar Alam,71.19
Kota Lubuklinggau,76.82
BENGKULU,73.39
Bengkulu Selatan,72.35
Rejang Lebong,72.92
Bengkulu Utara,71.11
Kaur,68.98
Seluma,68.97
Mukomuko,70.63
Lebong,69.27
Kepahiang,70.27
Bengkulu Tengah,69.84
Kota Bengkulu,82.04
LAMPUNG,71.81
Lampung Barat,69.84
Tanggamus,68.52
Lampung Selatan,70.28
Lampung Timur,71.84
Lampung Tengah,72.37
Lampung Utara,69.62
Way Kanan,69.31
Tulangbawang,70.66
Pesawaran,68.52
Pringsewu,72.29
Mesuji,66.46
Tulang Bawang Barat,68.46
Pesisir Barat,66.73
Kota Bandar Lampung,79.19
Kota Metro,78.93
KEP. BANGKA BELITUNG,73.33
Bangka,73.98
Belitung,74.47
Bangka Barat,70.67
Bangka Tengah,71.9
Bangka Selatan,68.86
Belitung Timur,73.19
Kota Pangkal Pinang,80.4
KEPULAUAN RIAU,77.97
Karimun,74.28
Bintan,76.18
Natuna,74.56
Lingga,68.19
Kepulauan Anambas,70.93
Kota Batam,82.86
Kota Tanjung Pinang,80.63
DKI JAKARTA,83.08
Kep. Seribu,74.17
Kota Jakarta Selatan,86.94
Kota Jakarta Timur,84.65
Kota Jakarta Pusat,83.01
Kota Jakarta Barat,83.64
Kota Jakarta Utara,81.39
JAWA BARAT,74.43
Bogor,72.39
Sukabumi,68.97
Cianjur,67.24
Bandung,74.27
Garut,68.79
Tasikmalaya,68.36
Ciamis,72.56
Kuningan,71.26
Cirebon,71.44
Majalengka,69.74
Sumedang,73.73
Indramayu,69.83
Subang,71.36
Purwakarta,72.65
Karawang,72.9
Bekasi,76.44
