Province/Regency/City,
,[New Method] Life Expectancy at Birth (Year)
,2017
ACEH,69.52
Simeulue,64.9
Aceh Singkil,67.07
Aceh Selatan,63.89
Aceh Tenggara,67.62
Aceh Timur,68.33
Aceh Tengah,68.53
Aceh Barat,67.62
Aceh Besar,69.52
Pidie,66.58
Bireuen,70.8
Aceh Utara,68.54
Aceh Barat Daya,64.51
Gayo Lues,64.98
Aceh Tamiang,69.16
Nagan Raya,68.76
Aceh Jaya,66.77
Bener Meriah,68.9
Pidie Jaya,69.68
Kota Banda Aceh,70.96
Kota Sabang,70.09
Kota Langsa,69.06
Kota Lhokseumawe,71.14
Kota Subulussalam,63.56
SUMATERA UTARA,68.37
Nias,69.18
Mandailing Natal,61.97
Tapanuli Selatan,64.28
Tapanuli Tengah,66.66
Tapanuli Utara,67.86
Toba Samosir / Toba,69.36
Labuhan Batu,69.44
Asahan,67.57
Simalungun,70.53
Dairi,68.13
Karo,70.77
Deli Serdang,71.11
Langkat,67.94
Nias Selatan,68
Humbang Hasundutan,68.41
Pakpak Bharat,65.05
Samosir,70.68
Serdang Bedagai,67.79
Batu Bara,66.1
Padang Lawas Utara,66.58
Padang Lawas,66.5
Labuhan Batu Selatan,68.14
Labuhan Batu Utara,68.91
Nias Utara,68.77
Nias Barat,68.28
Kota Sibolga,68.05
Kota Tanjung Balai,62.28
Kota Pematang Siantar,72.63
Kota Tebing Tinggi,70.28
Kota Medan,72.4
Kota Binjai,71.75
Kota Padangsidimpuan,68.41
Kota Gunungsitoli,70.42
SUMATERA BARAT,68.78
Kepulauan Mentawai,64.37
Pesisir Selatan,70.25
Solok,67.65
Sijunjung,65.44
Tanah Datar,69.11
Padang Pariaman,67.96
Agam,71.57
Lima Puluh Kota,69.31
Pasaman,66.54
Solok Selatan,66.92
Dharmasraya,70.44
Pasaman Barat,67.15
Kota Padang,73.2
Kota Solok,72.92
Kota Sawah Lunto,69.39
Kota Padang Panjang,72.46
Kota Bukittinggi,73.69
Kota Payakumbuh,73.13
Kota Pariaman,69.67
RIAU,70.99
Kuantan Singingi,67.99
Indragiri Hulu,69.83
Indragiri Hilir,67.07
Pelalawan,70.54
Siak,70.64
Kampar,70.16
Rokan Hulu,69.31
Bengkalis,70.69
Rokan Hilir,69.66
Kepulauan Meranti,66.99
Kota Pekanbaru,71.75
Kota Dumai,70.37
JAMBI,70.76
Kerinci,69.52
Merangin,70.94
Sarolangun,68.83
Batang Hari,70.12
Muaro Jambi,70.9
Tanjung Jabung Timur,65.69
Tanjung Jabung Barat,67.75
Tebo,69.67
Bungo,67.27
Kota Jambi,72.33
Kota Sungai Penuh,71.71
SUMATERA SELATAN,69.18
Ogan Komering Ulu,67.66
Ogan Komering Ilir,68.04
Muara Enim,68.14
Lahat,65.25
Musi Rawas,67.34
Musi Banyuasin,68.14
Banyu Asin,68.36
Ogan Komering Ulu Selatan,66.24
Ogan Komering Ulu Timur,68.44
Ogan Ilir,64.72
Empat Lawang,64.32
Penukal Abab Lematang Ilir,67.7
Musi Rawas Utara,64.99
Kota Palembang,70.1
Kota Prabumulih,69.67
Kota Pagar Alam,65.87
Kota Lubuklinggau,68.64
BENGKULU,68.59
Bengkulu Selatan,67.24
Rejang Lebong,67.65
Bengkulu Utara,67.42
Kaur,65.92
Seluma,66.85
Mukomuko,65.93
Lebong,62.46
Kepahiang,67.12
Bengkulu Tengah,67.64
Kota Bengkulu,69.52
LAMPUNG,69.95
Lampung Barat,66.86
Tanggamus,67.8
Lampung Selatan,68.65
Lampung Timur,70.11
Lampung Tengah,69.28
Lampung Utara,68.48
Way Kanan,68.74
Tulangbawang,69.41
Pesawaran,68.29
Pringsewu,69.14
Mesuji,67.49
Tulang Bawang Barat,69.35
Pesisir Barat,62.54
Kota Bandar Lampung,70.84
Kota Metro,71.13
KEP. BANGKA BELITUNG,69.95
Bangka,70.56
Belitung,70.44
Bangka Barat,69.56
Bangka Tengah,70.49
Bangka Selatan,67.13
Belitung Timur,71.37
Kota Pangkal Pinang,72.64
KEPULAUAN RIAU,69.48
Karimun,70.32
Bintan,70.12
Natuna,64.33
Lingga,61.14
Kepulauan Anambas,66.76
Kota Batam,73.19
Kota Tanjung Pinang,71.84
DKI JAKARTA,72.55
Kep. Seribu,68.04
Kota Jakarta Selatan,73.84
Kota Jakarta Timur,74.18
Kota Jakarta Pusat,73.83
Kota Jakarta Barat,73.37
Kota Jakarta Utara,72.99
JAWA BARAT,72.47
Bogor,70.7
Sukabumi,70.26
Cianjur,69.49
Bandung,73.13
Garut,70.84
Tasikmalaya,68.71
Ciamis,71.07
Kuningan,72.88
Cirebon,71.49
Majalengka,69.39
Sumedang,72
Indramayu,70.86
Subang,71.71
Purwakarta,70.42
Karawang,71.64
Bekasi,73.3
Bandung Barat,71.87
Pangandaran,70.56
Kota Bogor,73.01
