Kota/Kabupaten,Tahun,Life Expectancy at Birth (Year),Provinsi
Aceh Utara,2024,69.28,Aceh
Bener Meriah,2013,68.62,Aceh
Bener Meriah,2014,68.64,Aceh
Bener Meriah,2015,68.79,Aceh
Bener Meriah,2016,68.85,Aceh
Bener Meriah,2017,68.9,Aceh
Bener Meriah,2018,68.99,Aceh
Bener Meriah,2019,69.19,Aceh
Bener Meriah,2020,69.22,Aceh
Bener Meriah,2021,69.26,Aceh
Bener Meriah,2022,69.48,Aceh
Bener Meriah,2023,69.64,Aceh
Bener Meriah,2024,69.79,Aceh
Bireuen,2013,70.34,Aceh
Bireuen,2014,70.35,Aceh
Bireuen,2015,70.64,Aceh
Bireuen,2016,70.72,Aceh
Bireuen,2017,70.8,Aceh
Bireuen,2018,70.92,Aceh
Bireuen,2019,71.16,Aceh
Bireuen,2020,71.22,Aceh
Bireuen,2021,71.26,Aceh
Bireuen,2022,71.48,Aceh
Bireuen,2023,71.66,Aceh
Bireuen,2024,71.83,Aceh
Gayo Lues,2013,64.42,Aceh
Gayo Lues,2014,64.44,Aceh
Gayo Lues,2015,64.77,Aceh
Gayo Lues,2016,64.88,Aceh
Gayo Lues,2017,64.98,Aceh
Gayo Lues,2018,65.12,Aceh
Gayo Lues,2019,65.38,Aceh
Gayo Lues,2020,65.47,Aceh
Gayo Lues,2021,65.53,Aceh
Gayo Lues,2022,65.77,Aceh
Gayo Lues,2023,65.92,Aceh
Gayo Lues,2024,66.03,Aceh
Kota Banda Aceh,2013,70.79,Aceh
Kota Banda Aceh,2014,70.8,Aceh
Kota Banda Aceh,2015,70.89,Aceh
Kota Banda Aceh,2016,70.92,Aceh
Kota Banda Aceh,2017,70.96,Aceh
Kota Banda Aceh,2018,71.1,Aceh
Kota Banda Aceh,2019,71.36,Aceh
Kota Banda Aceh,2020,71.45,Aceh
Kota Banda Aceh,2021,71.52,Aceh
Kota Banda Aceh,2022,71.79,Aceh
Kota Banda Aceh,2023,72.02,Aceh
Kota Banda Aceh,2024,72.17,Aceh
Kota Langsa,2013,68.78,Aceh
Kota Langsa,2014,68.79,Aceh
Kota Langsa,2015,68.94,Aceh
Kota Langsa,2016,69,Aceh
Kota Langsa,2017,69.06,Aceh
Kota Langsa,2018,69.16,Aceh
Kota Langsa,2019,69.37,Aceh
Kota Langsa,2020,69.42,Aceh
Kota Langsa,2021,69.43,Aceh
Kota Langsa,2022,69.63,Aceh
Kota Langsa,2023,69.78,Aceh
Kota Langsa,2024,69.92,Aceh
Kota Lhokseumawe,2013,70.61,Aceh
Kota Lhokseumawe,2014,70.62,Aceh
Kota Lhokseumawe,2015,70.96,Aceh
Kota Lhokseumawe,2016,71.05,Aceh
Kota Lhokseumawe,2017,71.14,Aceh
Kota Lhokseumawe,2018,71.27,Aceh
Kota Lhokseumawe,2019,71.52,Aceh
Kota Lhokseumawe,2020,71.6,Aceh
Kota Lhokseumawe,2021,71.64,Aceh
Kota Lhokseumawe,2022,71.87,Aceh
Kota Lhokseumawe,2023,72.06,Aceh
Kota Lhokseumawe,2024,72.25,Aceh
Kota Sabang,2013,69.54,Aceh
Kota Sabang,2014,69.54,Aceh
Kota Sabang,2015,69.93,Aceh
Kota Sabang,2016,70.01,Aceh
Kota Sabang,2017,70.09,Aceh
Kota Sabang,2018,70.21,Aceh
Kota Sabang,2019,70.45,Aceh
Kota Sabang,2020,70.51,Aceh
Kota Sabang,2021,70.56,Aceh
Kota Sabang,2022,70.79,Aceh
Kota Sabang,2023,70.98,Aceh
Kota Sabang,2024,71.17,Aceh
Kota Subulussalam,2013,62.86,Aceh
Kota Subulussalam,2014,62.87,Aceh
Kota Subulussalam,2015,63.27,Aceh
Kota Subulussalam,2016,63.42,Aceh
Kota Subulussalam,2017,63.56,Aceh
Kota Subulussalam,2018,63.69,Aceh
Kota Subulussalam,2019,63.94,Aceh
Kota Subulussalam,2020,64.02,Aceh
Kota Subulussalam,2021,64.07,Aceh
Kota Subulussalam,2022,64.3,Aceh
Kota Subulussalam,2023,64.41,Aceh
Kota Subulussalam,2024,64.51,Aceh
Nagan Raya,2013,68.28,Aceh
Nagan Raya,2014,68.29,Aceh
Nagan Raya,2015,68.59,Aceh
Nagan Raya,2016,68.67,Aceh
Nagan Raya,2017,68.76,Aceh
Nagan Raya,2018,68.89,Aceh
Nagan Raya,2019,69.14,Aceh
Nagan Raya,2020,69.22,Aceh
Nagan Raya,2021,69.24,Aceh
Nagan Raya,2022,69.45,Aceh
Nagan Raya,2023,69.6,Aceh
Nagan Raya,2024,69.75,Aceh
Pidie,2013,66.27,Aceh
Pidie,2014,66.28,Aceh
