Kota/Kabupaten,Tahun,Life Expectancy at Birth (Year),Provinsi
Pati,2019,76.04,Jawa Tengah
Pati,2020,76.22,Jawa Tengah
Pati,2021,76.27,Jawa Tengah
Pati,2022,76.32,Jawa Tengah
Pati,2023,76.39,Jawa Tengah
Pati,2024,76.56,Jawa Tengah
Pekalongan,2013,73.3,Jawa Tengah
Pekalongan,2014,73.33,Jawa Tengah
Pekalongan,2015,73.35,Jawa Tengah
Pekalongan,2016,73.41,Jawa Tengah
Pekalongan,2017,73.46,Jawa Tengah
Pekalongan,2018,73.53,Jawa Tengah
Pekalongan,2019,73.57,Jawa Tengah
Pekalongan,2020,73.69,Jawa Tengah
Pekalongan,2021,73.74,Jawa Tengah
Pekalongan,2022,73.8,Jawa Tengah
Pekalongan,2023,73.87,Jawa Tengah
Pekalongan,2024,74,Jawa Tengah
Pemalang,2013,72.59,Jawa Tengah
Pemalang,2014,72.64,Jawa Tengah
Pemalang,2015,72.77,Jawa Tengah
Pemalang,2016,72.87,Jawa Tengah
Pemalang,2017,72.98,Jawa Tengah
Pemalang,2018,73.11,Jawa Tengah
Pemalang,2019,73.22,Jawa Tengah
Pemalang,2020,73.4,Jawa Tengah
Pemalang,2021,73.53,Jawa Tengah
Pemalang,2022,73.65,Jawa Tengah
Pemalang,2023,73.85,Jawa Tengah
Pemalang,2024,73.99,Jawa Tengah
Purbalingga,2013,72.76,Jawa Tengah
Purbalingga,2014,72.8,Jawa Tengah
Purbalingga,2015,72.81,Jawa Tengah
Purbalingga,2016,72.86,Jawa Tengah
Purbalingga,2017,72.91,Jawa Tengah
Purbalingga,2018,72.98,Jawa Tengah
Purbalingga,2019,73.02,Jawa Tengah
Purbalingga,2020,73.14,Jawa Tengah
Purbalingga,2021,73.21,Jawa Tengah
Purbalingga,2022,73.28,Jawa Tengah
Purbalingga,2023,73.37,Jawa Tengah
Purbalingga,2024,73.56,Jawa Tengah
Purworejo,2013,73.77,Jawa Tengah
Purworejo,2014,73.83,Jawa Tengah
Purworejo,2015,74.03,Jawa Tengah
Purworejo,2016,74.14,Jawa Tengah
Purworejo,2017,74.26,Jawa Tengah
Purworejo,2018,74.4,Jawa Tengah
Purworejo,2019,74.52,Jawa Tengah
Purworejo,2020,74.72,Jawa Tengah
Purworejo,2021,74.87,Jawa Tengah
Purworejo,2022,75.03,Jawa Tengah
Purworejo,2023,75.21,Jawa Tengah
Purworejo,2024,75.51,Jawa Tengah
Rembang,2013,74.16,Jawa Tengah
Rembang,2014,74.19,Jawa Tengah
Rembang,2015,74.22,Jawa Tengah
Rembang,2016,74.27,Jawa Tengah
Rembang,2017,74.32,Jawa Tengah
Rembang,2018,74.39,Jawa Tengah
Rembang,2019,74.43,Jawa Tengah
Rembang,2020,74.55,Jawa Tengah
Rembang,2021,74.61,Jawa Tengah
Rembang,2022,74.68,Jawa Tengah
Rembang,2023,74.77,Jawa Tengah
Rembang,2024,74.97,Jawa Tengah
Semarang,2013,75.48,Jawa Tengah
Semarang,2014,75.5,Jawa Tengah
Semarang,2015,75.52,Jawa Tengah
Semarang,2016,75.54,Jawa Tengah
Semarang,2017,75.57,Jawa Tengah
Semarang,2018,75.62,Jawa Tengah
Semarang,2019,75.63,Jawa Tengah
Semarang,2020,75.73,Jawa Tengah
Semarang,2021,75.79,Jawa Tengah
Semarang,2022,75.86,Jawa Tengah
Semarang,2023,75.95,Jawa Tengah
Semarang,2024,76.14,Jawa Tengah
Sragen,2013,75.27,Jawa Tengah
Sragen,2014,75.31,Jawa Tengah
Sragen,2015,75.41,Jawa Tengah
Sragen,2016,75.43,Jawa Tengah
Sragen,2017,75.55,Jawa Tengah
Sragen,2018,75.6,Jawa Tengah
Sragen,2019,75.62,Jawa Tengah
Sragen,2020,75.71,Jawa Tengah
Sragen,2021,75.79,Jawa Tengah
Sragen,2022,75.87,Jawa Tengah
Sragen,2023,75.97,Jawa Tengah
Sragen,2024,76.18,Jawa Tengah
Sukoharjo,2013,77.44,Jawa Tengah
Sukoharjo,2014,77.45,Jawa Tengah
Sukoharjo,2015,77.46,Jawa Tengah
Sukoharjo,2016,77.46,Jawa Tengah
Sukoharjo,2017,77.49,Jawa Tengah
Sukoharjo,2018,77.54,Jawa Tengah
Sukoharjo,2019,77.55,Jawa Tengah
Sukoharjo,2020,77.65,Jawa Tengah
Sukoharjo,2021,77.73,Jawa Tengah
Sukoharjo,2022,77.82,Jawa Tengah
Sukoharjo,2023,77.86,Jawa Tengah
Sukoharjo,2024,78.01,Jawa Tengah
Tegal,2013,70.73,Jawa Tengah
Tegal,2014,70.8,Jawa Tengah
Tegal,2015,70.9,Jawa Tengah
Tegal,2016,71.02,Jawa Tengah
Tegal,2017,71.14,Jawa Tengah
Tegal,2018,71.28,Jawa Tengah
Tegal,2019,71.4,Jawa Tengah
Tegal,2020,71.6,Jawa Tengah
Tegal,2021,71.72,Jawa Tengah
Tegal,2022,71.85,Jawa Tengah
Tegal,2023,72,Jawa Tengah
Tegal,2024,72.16,Jawa Tengah
Temanggung,2013,75.31,Jawa Tengah
Temanggung,2014,75.34,Jawa Tengah
Temanggung,2015,75.35,Jawa Tengah
Temanggung,2016,75.39,Jawa Tengah
Temanggung,2017,75.42,Jawa Tengah
Temanggung,2018,75.47,Jawa Tengah
Temanggung,2019,75.48,Jawa Tengah
Temanggung,2020,75.58,Jawa Tengah
Temanggung,2021,75.64,Jawa Tengah
Temanggung,2022,75.7,Jawa Tengah
Temanggung,2023,75.77,Jawa Tengah
Temanggung,2024,75.95,Jawa Tengah
Wonogiri,2013,75.8,Jawa Tengah
Wonogiri,2014,75.84,Jawa Tengah
Wonogiri,2015,75.86,Jawa Tengah
Wonogiri,2016,75.88,Jawa Tengah
Wonogiri,2017,76,Jawa Tengah
Wonogiri,2018,76.05,Jawa Tengah
Wonogiri,2019,76.07,Jawa Tengah
Wonogiri,2020,76.16,Jawa Tengah
Wonogiri,2021,76.28,Jawa Tengah
Wonogiri,2022,76.41,Jawa Tengah
Wonogiri,2023,76.56,Jawa Tengah
Wonogiri,2024,76.84,Jawa Tengah
Wonosobo,2013,70.76,Jawa Tengah
Wonosobo,2014,70.82,Jawa Tengah
Wonosobo,2015,71.02,Jawa Tengah
Wonosobo,2016,71.16,Jawa Tengah
Wonosobo,2017,71.3,Jawa Tengah
Wonosobo,2018,71.46,Jawa Tengah
Wonosobo,2019,71.6,Jawa Tengah
Wonosobo,2020,71.82,Jawa Tengah
Wonosobo,2021,71.94,Jawa Tengah
Wonosobo,2022,72.05,Jawa Tengah
Wonosobo,2023,72.17,Jawa Tengah
Wonosobo,2024,72.4,Jawa Tengah
Bangkalan,2013,69.6,Jawa Timur
Bangkalan,2014,69.62,Jawa Timur
Bangkalan,2015,69.72,Jawa Timur
Bangkalan,2016,69.77,Jawa Timur
Bangkalan,2017,69.82,Jawa Timur
Bangkalan,2018,69.94,Jawa Timur
Bangkalan,2019,70.11,Jawa Timur
Bangkalan,2020,70.18,Jawa Timur
Bangkalan,2021,70.22,Jawa Timur
Bangkalan,2022,70.54,Jawa Timur
Bangkalan,2023,70.79,Jawa Timur
Bangkalan,2024,70.96,Jawa Timur
Banyuwangi,2013,69.88,Jawa Timur
Banyuwangi,2014,69.93,Jawa Timur
Banyuwangi,2015,70.03,Jawa Timur
Banyuwangi,2016,70.11,Jawa Timur
Banyuwangi,2017,70.19,Jawa Timur
Banyuwangi,2018,70.34,Jawa Timur
Banyuwangi,2019,70.54,Jawa Timur
Banyuwangi,2020,70.65,Jawa Timur
Banyuwangi,2021,70.72,Jawa Timur
Banyuwangi,2022,71.06,Jawa Timur
Banyuwangi,2023,71.38,Jawa Timur
Banyuwangi,2024,71.57,Jawa Timur
Blitar,2013,72.47,Jawa Timur
Blitar,2014,72.5,Jawa Timur
Blitar,2015,72.8,Jawa Timur
Blitar,2016,72.89,Jawa Timur
Blitar,2017,72.99,Jawa Timur
Blitar,2018,73.16,Jawa Timur
Blitar,2019,73.39,Jawa Timur
Blitar,2020,73.52,Jawa Timur
Blitar,2021,73.61,Jawa Timur
Blitar,2022,73.98,Jawa Timur
Blitar,2023,74.34,Jawa Timur
Blitar,2024,74.54,Jawa Timur
Bojonegoro,2013,70.07,Jawa Timur
Bojonegoro,2014,70.11,Jawa Timur
Bojonegoro,2015,70.51,Jawa Timur
Bojonegoro,2016,70.67,Jawa Timur
Bojonegoro,2017,70.83,Jawa Timur
Bojonegoro,2018,71.07,Jawa Timur
Bojonegoro,2019,71.36,Jawa Timur
Bojonegoro,2020,71.56,Jawa Timur
Bojonegoro,2021,71.72,Jawa Timur
Bojonegoro,2022,72.16,Jawa Timur
Bojonegoro,2023,72.57,Jawa Timur
Bojonegoro,2024,72.76,Jawa Timur
Bondowoso,2013,65.36,Jawa Timur
Bondowoso,2014,65.43,Jawa Timur
Bondowoso,2015,65.73,Jawa Timur
Bondowoso,2016,65.89,Jawa Timur
Bondowoso,2017,66.04,Jawa Timur
Bondowoso,2018,66.27,Jawa Timur
Bondowoso,2019,66.55,Jawa Timur
Bondowoso,2020,66.74,Jawa Timur
Bondowoso,2021,66.89,Jawa Timur
Bondowoso,2022,67.29,Jawa Timur
Bondowoso,2023,67.6,Jawa Timur
Bondowoso,2024,67.76,Jawa Timur
Gresik,2013,72.19,Jawa Timur
Gresik,2014,72.2,Jawa Timur
Gresik,2015,72.3,Jawa Timur
Gresik,2016,72.33,Jawa Timur
Gresik,2017,72.36,Jawa Timur
Gresik,2018,72.46,Jawa Timur
Gresik,2019,72.61,Jawa Timur
Gresik,2020,72.66,Jawa Timur
Gresik,2021,72.67,Jawa Timur
Gresik,2022,72.99,Jawa Timur
Gresik,2023,73.3,Jawa Timur
Gresik,2024,73.5,Jawa Timur
Jember,2013,67.75,Jawa Timur
Jember,2014,67.8,Jawa Timur
Jember,2015,68.2,Jawa Timur
Jember,2016,68.37,Jawa Timur
Jember,2017,68.54,Jawa Timur
Jember,2018,68.74,Jawa Timur
Jember,2019,68.99,Jawa Timur
Jember,2020,69.15,Jawa Timur
Jember,2021,69.28,Jawa Timur
Jember,2022,69.68,Jawa Timur
Jember,2023,70.03,Jawa Timur
Jember,2024,70.2,Jawa Timur
Jombang,2013,71.34,Jawa Timur
Jombang,2014,71.37,Jawa Timur
Jombang,2015,71.67,Jawa Timur
Jombang,2016,71.77,Jawa Timur
Jombang,2017,71.87,Jawa Timur
Jombang,2018,72.04,Jawa Timur
Jombang,2019,72.27,Jawa Timur
Jombang,2020,72.4,Jawa Timur
Jombang,2021,72.49,Jawa Timur
Jombang,2022,72.86,Jawa Timur
Jombang,2023,73.22,Jawa Timur
Jombang,2024,73.42,Jawa Timur
Kediri,2013,72.02,Jawa Timur
Kediri,2014,72.04,Jawa Timur
Kediri,2015,72.14,Jawa Timur
Kediri,2016,72.2,Jawa Timur
Kediri,2017,72.25,Jawa Timur
Kediri,2018,72.37,Jawa Timur
Kediri,2019,72.54,Jawa Timur
Kediri,2020,72.61,Jawa Timur
Kediri,2021,72.65,Jawa Timur
Kediri,2022,72.97,Jawa Timur
Kediri,2023,73.27,Jawa Timur
Kediri,2024,73.47,Jawa Timur
Kota Batu,2013,72.05,Jawa Timur
Kota Batu,2014,72.06,Jawa Timur
Kota Batu,2015,72.16,Jawa Timur
Kota Batu,2016,72.2,Jawa Timur
Kota Batu,2017,72.25,Jawa Timur
Kota Batu,2018,72.37,Jawa Timur
Kota Batu,2019,72.54,Jawa Timur
Kota Batu,2020,72.61,Jawa Timur
Kota Batu,2021,72.65,Jawa Timur
Kota Batu,2022,72.97,Jawa Timur
Kota Batu,2023,73.29,Jawa Timur
Kota Batu,2024,73.49,Jawa Timur
Kota Blitar,2013,72.69,Jawa Timur
Kota Blitar,2014,72.7,Jawa Timur
Kota Blitar,2015,73,Jawa Timur
Kota Blitar,2016,73.09,Jawa Timur
Kota Blitar,2017,73.17,Jawa Timur
Kota Blitar,2018,73.36,Jawa Timur
Kota Blitar,2019,73.6,Jawa Timur
Kota Blitar,2020,73.75,Jawa Timur
Kota Blitar,2021,73.86,Jawa Timur
Kota Blitar,2022,74.26,Jawa Timur
Kota Blitar,2023,74.66,Jawa Timur
Kota Blitar,2024,74.86,Jawa Timur
Kota Kediri,2013,73.51,Jawa Timur
Kota Kediri,2014,73.52,Jawa Timur
Kota Kediri,2015,73.62,Jawa Timur
Kota Kediri,2016,73.65,Jawa Timur
Kota Kediri,2017,73.69,Jawa Timur
Kota Kediri,2018,73.8,Jawa Timur
Kota Kediri,2019,73.96,Jawa Timur
Kota Kediri,2020,74.02,Jawa Timur
Kota Kediri,2021,74.04,Jawa Timur
Kota Kediri,2022,74.34,Jawa Timur
Kota Kediri,2023,74.67,Jawa Timur
Kota Kediri,2024,74.87,Jawa Timur
Kota Madiun,2013,72.38,Jawa Timur
Kota Madiun,2014,72.41,Jawa Timur
Kota Madiun,2015,72.41,Jawa Timur
Kota Madiun,2016,72.44,Jawa Timur
Kota Madiun,2017,72.48,Jawa Timur
Kota Madiun,2018,72.59,Jawa Timur
Kota Madiun,2019,72.75,Jawa Timur
Kota Madiun,2020,72.81,Jawa Timur
Kota Madiun,2021,72.83,Jawa Timur
Kota Madiun,2022,73.13,Jawa Timur
Kota Madiun,2023,73.44,Jawa Timur
Kota Madiun,2024,73.65,Jawa Timur
Kota Malang,2013,72.28,Jawa Timur
Kota Malang,2014,72.3,Jawa Timur
Kota Malang,2015,72.6,Jawa Timur
Kota Malang,2016,72.68,Jawa Timur
Kota Malang,2017,72.77,Jawa Timur
Kota Malang,2018,72.93,Jawa Timur
Kota Malang,2019,73.15,Jawa Timur
Kota Malang,2020,73.27,Jawa Timur
Kota Malang,2021,73.36,Jawa Timur
Kota Malang,2022,73.75,Jawa Timur
Kota Malang,2023,74.13,Jawa Timur
Kota Malang,2024,74.33,Jawa Timur
Kota Mojokerto,2013,72.37,Jawa Timur
Kota Mojokerto,2014,72.39,Jawa Timur
Kota Mojokerto,2015,72.69,Jawa Timur
Kota Mojokerto,2016,72.78,Jawa Timur
Kota Mojokerto,2017,72.86,Jawa Timur
Kota Mojokerto,2018,73.01,Jawa Timur
Kota Mojokerto,2019,73.21,Jawa Timur
Kota Mojokerto,2020,73.32,Jawa Timur
Kota Mojokerto,2021,73.39,Jawa Timur
Kota Mojokerto,2022,73.74,Jawa Timur
Kota Mojokerto,2023,74.1,Jawa Timur
Kota Mojokerto,2024,74.29,Jawa Timur
Kota Pasuruan,2013,70.52,Jawa Timur
Kota Pasuruan,2014,70.54,Jawa Timur
Kota Pasuruan,2015,70.84,Jawa Timur
Kota Pasuruan,2016,70.93,Jawa Timur
Kota Pasuruan,2017,71.02,Jawa Timur
Kota Pasuruan,2018,71.18,Jawa Timur
Kota Pasuruan,2019,71.4,Jawa Timur
Kota Pasuruan,2020,71.52,Jawa Timur
Kota Pasuruan,2021,71.6,Jawa Timur
Kota Pasuruan,2022,71.96,Jawa Timur
Kota Pasuruan,2023,72.31,Jawa Timur
Kota Pasuruan,2024,72.5,Jawa Timur
Kota Probolinggo,2013,69.5,Jawa Timur
Kota Probolinggo,2014,69.52,Jawa Timur
Kota Probolinggo,2015,69.72,Jawa Timur
Kota Probolinggo,2016,69.79,Jawa Timur
Kota Probolinggo,2017,69.86,Jawa Timur
Kota Probolinggo,2018,70,Jawa Timur
Kota Probolinggo,2019,70.19,Jawa Timur
Kota Probolinggo,2020,70.29,Jawa Timur
Kota Probolinggo,2021,70.35,Jawa Timur
Kota Probolinggo,2022,70.68,Jawa Timur
Kota Probolinggo,2023,70.99,Jawa Timur
Kota Probolinggo,2024,71.18,Jawa Timur
Kota Surabaya,2013,73.83,Jawa Timur
Kota Surabaya,2014,73.85,Jawa Timur
Kota Surabaya,2015,73.85,Jawa Timur
Kota Surabaya,2016,73.87,Jawa Timur
Kota Surabaya,2017,73.88,Jawa Timur
Kota Surabaya,2018,73.98,Jawa Timur
Kota Surabaya,2019,74.13,Jawa Timur
Kota Surabaya,2020,74.18,Jawa Timur
Kota Surabaya,2021,74.18,Jawa Timur
Kota Surabaya,2022,74.47,Jawa Timur
Kota Surabaya,2023,74.75,Jawa Timur
Kota Surabaya,2024,74.94,Jawa Timur
Lamongan,2013,71.43,Jawa Timur
Lamongan,2014,71.47,Jawa Timur
Lamongan,2015,71.67,Jawa Timur
Lamongan,2016,71.77,Jawa Timur
Lamongan,2017,71.87,Jawa Timur
Lamongan,2018,72.04,Jawa Timur
Lamongan,2019,72.27,Jawa Timur
Lamongan,2020,72.4,Jawa Timur
Lamongan,2021,72.49,Jawa Timur
Lamongan,2022,72.86,Jawa Timur
Lamongan,2023,73.22,Jawa Timur
Lamongan,2024,73.41,Jawa Timur
Lumajang,2013,69.02,Jawa Timur
Lumajang,2014,69.07,Jawa Timur
Lumajang,2015,69.27,Jawa Timur
Lumajang,2016,69.38,Jawa Timur
Lumajang,2017,69.5,Jawa Timur
Lumajang,2018,69.7,Jawa Timur
Lumajang,2019,69.94,Jawa Timur
Lumajang,2020,70.1,Jawa Timur
Lumajang,2021,70.21,Jawa Timur
Lumajang,2022,70.61,Jawa Timur
Lumajang,2023,70.96,Jawa Timur
Lumajang,2024,71.14,Jawa Timur
Madiun,2013,69.7,Jawa Timur
Madiun,2014,69.76,Jawa Timur
Madiun,2015,70.36,Jawa Timur
Madiun,2016,70.55,Jawa Timur
Madiun,2017,70.77,Jawa Timur
Madiun,2018,70.97,Jawa Timur
Madiun,2019,71.22,Jawa Timur
Madiun,2020,71.38,Jawa Timur
Madiun,2021,71.5,Jawa Timur
Madiun,2022,71.9,Jawa Timur
Madiun,2023,72.28,Jawa Timur
Madiun,2024,72.47,Jawa Timur
Magetan,2013,71.87,Jawa Timur
Magetan,2014,71.91,Jawa Timur
Magetan,2015,72.01,Jawa Timur
Magetan,2016,72.09,Jawa Timur
Magetan,2017,72.16,Jawa Timur
Magetan,2018,72.3,Jawa Timur
Magetan,2019,72.49,Jawa Timur
Magetan,2020,72.59,Jawa Timur
Magetan,2021,72.65,Jawa Timur
Magetan,2022,72.97,Jawa Timur
Magetan,2023,73.29,Jawa Timur
Magetan,2024,73.49,Jawa Timur
Malang,2013,71.76,Jawa Timur
Malang,2014,71.78,Jawa Timur
Malang,2015,71.98,Jawa Timur
Malang,2016,72.05,Jawa Timur
Malang,2017,72.12,Jawa Timur
Malang,2018,72.26,Jawa Timur
Malang,2019,72.45,Jawa Timur
Malang,2020,72.55,Jawa Timur
Malang,2021,72.61,Jawa Timur
Malang,2022,72.95,Jawa Timur
Malang,2023,73.26,Jawa Timur
Malang,2024,73.45,Jawa Timur
Mojokerto,2013,71.75,Jawa Timur
Mojokerto,2014,71.76,Jawa Timur
Mojokerto,2015,71.96,Jawa Timur
Mojokerto,2016,72.03,Jawa Timur
Mojokerto,2017,72.1,Jawa Timur
Mojokerto,2018,72.24,Jawa Timur
Mojokerto,2019,72.43,Jawa Timur
Mojokerto,2020,72.53,Jawa Timur
Mojokerto,2021,72.59,Jawa Timur
Mojokerto,2022,72.93,Jawa Timur
Mojokerto,2023,73.25,Jawa Timur
Mojokerto,2024,73.45,Jawa Timur
Nganjuk,2013,70.83,Jawa Timur
Nganjuk,2014,70.87,Jawa Timur
Nganjuk,2015,70.97,Jawa Timur
Nganjuk,2016,71.04,Jawa Timur
Nganjuk,2017,71.11,Jawa Timur
Nganjuk,2018,71.25,Jawa Timur
Nganjuk,2019,71.44,Jawa Timur
Nganjuk,2020,71.54,Jawa Timur
Nganjuk,2021,71.6,Jawa Timur
Nganjuk,2022,71.95,Jawa Timur
Nganjuk,2023,72.28,Jawa Timur
Nganjuk,2024,72.48,Jawa Timur
Ngawi,2013,71.28,Jawa Timur
Ngawi,2014,71.33,Jawa Timur
Ngawi,2015,71.53,Jawa Timur
Ngawi,2016,71.63,Jawa Timur
Ngawi,2017,71.74,Jawa Timur
Ngawi,2018,71.92,Jawa Timur
Ngawi,2019,72.16,Jawa Timur
Ngawi,2020,72.3,Jawa Timur
Ngawi,2021,72.41,Jawa Timur
Ngawi,2022,72.81,Jawa Timur
Ngawi,2023,73.2,Jawa Timur
Ngawi,2024,73.39,Jawa Timur
Pacitan,2013,70.7,Jawa Timur
Pacitan,2014,70.75,Jawa Timur
Pacitan,2015,71.05,Jawa Timur
Pacitan,2016,71.18,Jawa Timur
Pacitan,2017,71.31,Jawa Timur
Pacitan,2018,71.52,Jawa Timur
Pacitan,2019,71.77,Jawa Timur
Pacitan,2020,71.94,Jawa Timur
Pacitan,2021,72.07,Jawa Timur
Pacitan,2022,72.48,Jawa Timur
Pacitan,2023,72.86,Jawa Timur
Pacitan,2024,73.04,Jawa Timur
Pamekasan,2013,66.53,Jawa Timur
Pamekasan,2014,66.56,Jawa Timur
Pamekasan,2015,66.86,Jawa Timur
Pamekasan,2016,66.95,Jawa Timur
Pamekasan,2017,67.05,Jawa Timur
Pamekasan,2018,67.22,Jawa Timur
Pamekasan,2019,67.45,Jawa Timur
Pamekasan,2020,67.58,Jawa Timur
Pamekasan,2021,67.67,Jawa Timur
Pamekasan,2022,68.03,Jawa Timur
Pamekasan,2023,68.31,Jawa Timur
Pamekasan,2024,68.48,Jawa Timur
Pasuruan,2013,69.8,Jawa Timur
Pasuruan,2014,69.83,Jawa Timur
Pasuruan,2015,69.83,Jawa Timur
Pasuruan,2016,69.86,Jawa Timur
Pasuruan,2017,69.9,Jawa Timur
Pasuruan,2018,70.01,Jawa Timur
Pasuruan,2019,70.17,Jawa Timur
Pasuruan,2020,70.23,Jawa Timur
Pasuruan,2021,70.25,Jawa Timur
Pasuruan,2022,70.55,Jawa Timur
Pasuruan,2023,70.81,Jawa Timur
Pasuruan,2024,71,Jawa Timur
Ponorogo,2013,71.85,Jawa Timur
Ponorogo,2014,71.88,Jawa Timur
Ponorogo,2015,72.08,Jawa Timur
Ponorogo,2016,72.18,Jawa Timur
Ponorogo,2017,72.27,Jawa Timur
Ponorogo,2018,72.43,Jawa Timur
Ponorogo,2019,72.65,Jawa Timur
Ponorogo,2020,72.77,Jawa Timur
Ponorogo,2021,72.85,Jawa Timur
Ponorogo,2022,73.2,Jawa Timur
Ponorogo,2023,73.55,Jawa Timur
Ponorogo,2024,73.74,Jawa Timur
Probolinggo,2013,65.69,Jawa Timur
Probolinggo,2014,65.75,Jawa Timur
Probolinggo,2015,66.15,Jawa Timur
Probolinggo,2016,66.31,Jawa Timur
Probolinggo,2017,66.47,Jawa Timur
Probolinggo,2018,66.71,Jawa Timur
Probolinggo,2019,67,Jawa Timur
Probolinggo,2020,67.2,Jawa Timur
Probolinggo,2021,67.36,Jawa Timur
Probolinggo,2022,67.78,Jawa Timur
Probolinggo,2023,68.12,Jawa Timur
Probolinggo,2024,68.28,Jawa Timur
Sampang,2013,67.46,Jawa Timur
Sampang,2014,67.48,Jawa Timur
Sampang,2015,67.58,Jawa Timur
Sampang,2016,67.62,Jawa Timur
Sampang,2017,67.67,Jawa Timur
Sampang,2018,67.79,Jawa Timur
Sampang,2019,67.96,Jawa Timur
Sampang,2020,68.03,Jawa Timur
Sampang,2021,68.07,Jawa Timur
Sampang,2022,68.38,Jawa Timur
Sampang,2023,68.64,Jawa Timur
Sampang,2024,68.81,Jawa Timur
Sidoarjo,2013,73.43,Jawa Timur
Sidoarjo,2014,73.43,Jawa Timur
Sidoarjo,2015,73.63,Jawa Timur
Sidoarjo,2016,73.67,Jawa Timur
Sidoarjo,2017,73.71,Jawa Timur
Sidoarjo,2018,73.82,Jawa Timur
Sidoarjo,2019,73.98,Jawa Timur
Sidoarjo,2020,74.04,Jawa Timur
Sidoarjo,2021,74.06,Jawa Timur
Sidoarjo,2022,74.36,Jawa Timur
Sidoarjo,2023,74.69,Jawa Timur
Sidoarjo,2024,74.91,Jawa Timur
Situbondo,2013,68.03,Jawa Timur
Situbondo,2014,68.08,Jawa Timur
Situbondo,2015,68.28,Jawa Timur
Situbondo,2016,68.41,Jawa Timur
Situbondo,2017,68.53,Jawa Timur
Situbondo,2018,68.73,Jawa Timur
Situbondo,2019,68.97,Jawa Timur
Situbondo,2020,69.13,Jawa Timur
Situbondo,2021,69.24,Jawa Timur
Situbondo,2022,69.62,Jawa Timur
Situbondo,2023,69.94,Jawa Timur
Situbondo,2024,70.11,Jawa Timur
Sumenep,2013,69.98,Jawa Timur
Sumenep,2014,70.02,Jawa Timur
Sumenep,2015,70.42,Jawa Timur
Sumenep,2016,70.56,Jawa Timur
Sumenep,2017,70.71,Jawa Timur
Sumenep,2018,70.94,Jawa Timur
Sumenep,2019,71.22,Jawa Timur
Sumenep,2020,71.41,Jawa Timur
Sumenep,2021,71.56,Jawa Timur
Sumenep,2022,71.99,Jawa Timur
Sumenep,2023,72.47,Jawa Timur
Sumenep,2024,72.65,Jawa Timur
Trenggalek,2013,72.49,Jawa Timur
Trenggalek,2014,72.51,Jawa Timur
Trenggalek,2015,72.91,Jawa Timur
Trenggalek,2016,73.03,Jawa Timur
Trenggalek,2017,73.15,Jawa Timur
Trenggalek,2018,73.35,Jawa Timur
Trenggalek,2019,73.59,Jawa Timur
Trenggalek,2020,73.75,Jawa Timur
Trenggalek,2021,73.86,Jawa Timur
Trenggalek,2022,74.26,Jawa Timur
Trenggalek,2023,74.64,Jawa Timur
Trenggalek,2024,74.83,Jawa Timur
Tuban,2013,70.22,Jawa Timur
Tuban,2014,70.25,Jawa Timur
Tuban,2015,70.55,Jawa Timur
Tuban,2016,70.67,Jawa Timur
Tuban,2017,70.8,Jawa Timur
Tuban,2018,71.01,Jawa Timur
Tuban,2019,71.26,Jawa Timur
Tuban,2020,71.43,Jawa Timur
Tuban,2021,71.56,Jawa Timur
Tuban,2022,71.97,Jawa Timur
Tuban,2023,72.36,Jawa Timur
Tuban,2024,72.54,Jawa Timur
Tulungagung,2013,72.86,Jawa Timur
Tulungagung,2014,72.88,Jawa Timur
Tulungagung,2015,73.28,Jawa Timur
Tulungagung,2016,73.4,Jawa Timur
Tulungagung,2017,73.53,Jawa Timur
Tulungagung,2018,73.74,Jawa Timur
Tulungagung,2019,73.95,Jawa Timur
Tulungagung,2020,74.08,Jawa Timur
Tulungagung,2021,74.16,Jawa Timur
Tulungagung,2022,74.54,Jawa Timur
Tulungagung,2023,74.91,Jawa Timur
Tulungagung,2024,75.11,Jawa Timur
Bengkayang,2013,72.89,Kalimantan Barat
Bengkayang,2014,72.89,Kalimantan Barat
Bengkayang,2015,72.99,Kalimantan Barat
Bengkayang,2016,73.01,Kalimantan Barat
Bengkayang,2017,73.04,Kalimantan Barat
Bengkayang,2018,73.28,Kalimantan Barat
Bengkayang,2019,73.67,Kalimantan Barat
Bengkayang,2020,73.83,Kalimantan Barat
Bengkayang,2021,73.84,Kalimantan Barat
Bengkayang,2022,74,Kalimantan Barat
Bengkayang,2023,74.2,Kalimantan Barat
Bengkayang,2024,74.42,Kalimantan Barat
Kapuas Hulu,2013,71.93,Kalimantan Barat
Kapuas Hulu,2014,71.94,Kalimantan Barat
Kapuas Hulu,2015,71.94,Kalimantan Barat
Kapuas Hulu,2016,71.94,Kalimantan Barat
Kapuas Hulu,2017,71.95,Kalimantan Barat
Kapuas Hulu,2018,72.12,Kalimantan Barat
Kapuas Hulu,2019,72.44,Kalimantan Barat
Kapuas Hulu,2020,72.52,Kalimantan Barat
Kapuas Hulu,2021,72.53,Kalimantan Barat
Kapuas Hulu,2022,72.69,Kalimantan Barat
Kapuas Hulu,2023,72.88,Kalimantan Barat
Kapuas Hulu,2024,73.05,Kalimantan Barat
Kayong Utara,2013,67.03,Kalimantan Barat
Kayong Utara,2014,67.03,Kalimantan Barat
Kayong Utara,2015,67.33,Kalimantan Barat
Kayong Utara,2016,67.39,Kalimantan Barat
Kayong Utara,2017,67.46,Kalimantan Barat
Kayong Utara,2018,67.71,Kalimantan Barat
